id	name	category	TDL	provided_by
DrugCentral:4	levobupivacaine	biolink:Drug		drug_central
UniProtKB:P35499	SCN4A	biolink:Protein	Tclin	drug_central
UniProtKB:P10635	CYP2D6	biolink:Protein	Tclin	drug_central
UniProtKB:Q12809	KCNH2	biolink:Protein	Tclin	drug_central
UniProtKB:Q9UK17	KCND3	biolink:Protein	Tclin	drug_central
UniProtKB:P34995	PTGER1	biolink:Protein	Tclin	drug_central
UniProtKB:P35498	SCN1A	biolink:Protein	Tclin	drug_central
UniProtKB:P22460	KCNA5	biolink:Protein	Tclin	drug_central
UniProtKB:P46098	HTR3A	biolink:Protein	Tclin	drug_central
DrugCentral:5	(S)-nicardipine	biolink:Drug		drug_central
UniProtKB:Q01668	CACNA1C	biolink:Protein	Tclin	drug_central
UniProtKB:Q13936	CACNA1D	biolink:Protein	Tclin	drug_central
DrugCentral:6	(S)-nitrendipine	biolink:Drug		drug_central
UniProtKB:O15554	KCNN4	biolink:Protein	Tchem	drug_central
UniProtKB:O60840	CACNA1F	biolink:Protein	Tclin	drug_central
DrugCentral:13	levdobutamine	biolink:Drug		drug_central
UniProtKB:P08588	ADRB1	biolink:Protein	Tclin	drug_central
DrugCentral:21	aminopterin	biolink:Drug		drug_central
UniProtKB:P00374	DHFR	biolink:Protein	Tclin	drug_central
DrugCentral:24	phenylbutanoic acid	biolink:Drug		drug_central
UniProtKB:Q9BY41	HDAC8	biolink:Protein	Tclin	drug_central
UniProtKB:Q13547	HDAC1	biolink:Protein	Tclin	drug_central
UniProtKB:Q92769	HDAC2	biolink:Protein	Tclin	drug_central
UniProtKB:P15121	AKR1B1	biolink:Protein	Tclin	drug_central
DrugCentral:25	azacitidine	biolink:Drug		drug_central
UniProtKB:P26358	DNMT1	biolink:Protein	Tclin	drug_central
UniProtKB:Q9Y6K1	DNMT3A	biolink:Protein	Tclin	drug_central
DrugCentral:26	fluorouracil	biolink:Drug		drug_central
UniProtKB:P04818	TYMS	biolink:Protein	Tclin	drug_central
UniProtKB:Q96J66	ABCC11	biolink:Protein	Tbio	drug_central
UniProtKB:O15440	ABCC5	biolink:Protein	Tchem	drug_central
DrugCentral:30	methoxsalen	biolink:Drug		drug_central
UniProtKB:P05177	CYP1A2	biolink:Protein	Tchem	drug_central
UniProtKB:P21397	MAOA	biolink:Protein	Tclin	drug_central
UniProtKB:P22303	ACHE	biolink:Protein	Tclin	drug_central
DrugCentral:35	abarelix	biolink:Drug		drug_central
UniProtKB:P30968	GNRHR	biolink:Protein	Tclin	drug_central
DrugCentral:38	acamprosate	biolink:Drug		drug_central
UniProtKB:O15399	GRIN1	biolink:Protein	Tclin	drug_central
UniProtKB:O60391	GRIN2A	biolink:Protein	Tclin	drug_central
UniProtKB:Q05586	GRIN2B	biolink:Protein	Tclin	drug_central
UniProtKB:Q12879	GRIN2C	biolink:Protein	Tclin	drug_central
UniProtKB:Q13224	GRIN2D	biolink:Protein	Tclin	drug_central
UniProtKB:Q14957	GRIN3A	biolink:Protein	Tclin	drug_central
UniProtKB:Q8TCU5	GRIN3B	biolink:Protein	Tclin	drug_central
UniProtKB:P14867	GABRA1	biolink:Protein	Tclin	drug_central
UniProtKB:P18507	GABRB3	biolink:Protein	Tclin	drug_central
UniProtKB:P28472	GABRG2	biolink:Protein	Tclin	drug_central
DrugCentral:39	acarbose	biolink:Drug		drug_central
UniProtKB:O43451	MGAM	biolink:Protein	Tclin	drug_central
UniProtKB:P14410	SI	biolink:Protein	Tchem	drug_central
UniProtKB:P10253	GAA	biolink:Protein	Tclin	drug_central
UniProtKB:P04745	AMY1A	biolink:Protein	Tchem	drug_central
UniProtKB:P04746	AMY2A	biolink:Protein	Tclin	drug_central
DrugCentral:40	acebutolol	biolink:Drug		drug_central
UniProtKB:P07550	ADRB2	biolink:Protein	Tclin	drug_central
DrugCentral:43	aceclofenac	biolink:Drug		drug_central
UniProtKB:P35354	PTGS2	biolink:Protein	Tclin	drug_central
UniProtKB:P28482	MAPK1	biolink:Protein	Tchem	drug_central
UniProtKB:P02766	TTR	biolink:Protein	Tclin	drug_central
DrugCentral:47	acemetacin	biolink:Drug		drug_central
UniProtKB:Q04760	GLO1	biolink:Protein	Tchem	drug_central
UniProtKB:P23219	PTGS1	biolink:Protein	Tclin	drug_central
DrugCentral:48	acenocoumarol	biolink:Drug		drug_central
UniProtKB:Q9BQB6	VKORC1	biolink:Protein	Tclin	drug_central
DrugCentral:49	acefylline	biolink:Drug		drug_central
UniProtKB:P29275	ADORA2B	biolink:Protein	Tclin	drug_central
DrugCentral:50	aceprometazine	biolink:Drug		drug_central
UniProtKB:P35367	HRH1	biolink:Protein	Tclin	drug_central
DrugCentral:52	paracetamol	biolink:Drug		drug_central
UniProtKB:P22748	CA4	biolink:Protein	Tclin	drug_central
UniProtKB:P00915	CA1	biolink:Protein	Tclin	drug_central
UniProtKB:P20292	ALOX5AP	biolink:Protein	Tchem	drug_central
UniProtKB:P07451	CA3	biolink:Protein	Tclin	drug_central
UniProtKB:P00918	CA2	biolink:Protein	Tclin	drug_central
UniProtKB:Q9ULX7	CA14	biolink:Protein	Tclin	drug_central
UniProtKB:P43166	CA7	biolink:Protein	Tclin	drug_central
UniProtKB:Q16790	CA9	biolink:Protein	Tclin	drug_central
UniProtKB:O43570	CA12	biolink:Protein	Tclin	drug_central
UniProtKB:P02144	MB	biolink:Protein	Tbio	drug_central
UniProtKB:P21554	CNR1	biolink:Protein	Tclin	drug_central
UniProtKB:Q8NER1	TRPV1	biolink:Protein	Tclin	drug_central
UniProtKB:Q14994	NR1I3	biolink:Protein	Tchem	drug_central
DrugCentral:56	acetazolamide	biolink:Drug		drug_central
UniProtKB:P35218	CA5A	biolink:Protein	Tclin	drug_central
UniProtKB:P23280	CA3	biolink:Protein	Tclin	drug_central
UniProtKB:Q8N1Q1	CA6	biolink:Protein	Tclin	drug_central
UniProtKB:Q9Y2D0	CA9	biolink:Protein	Tclin	drug_central
UniProtKB:P29972	AQP1	biolink:Protein	Tbio	drug_central
DrugCentral:57	acetohexamide	biolink:Drug		drug_central
UniProtKB:Q09428	ABCC8	biolink:Protein	Tclin	drug_central
UniProtKB:Q14654	KCNJ11	biolink:Protein	Tclin	drug_central
DrugCentral:58	acetohydroxamic acid	biolink:Drug		drug_central
DrugCentral:59	acetophenazine	biolink:Drug		drug_central
UniProtKB:P14416	DRD2	biolink:Protein	Tclin	drug_central
DrugCentral:60	racecadotril	biolink:Drug		drug_central
UniProtKB:P08473	MME	biolink:Protein	Tclin	drug_central
UniProtKB:P12821	ACE	biolink:Protein	Tclin	drug_central
DrugCentral:62	acetoxolone	biolink:Drug		drug_central
UniProtKB:P14061	HSD17B1	biolink:Protein	Tchem	drug_central
UniProtKB:P28845	HSD11B1	biolink:Protein	Tclin	drug_central
UniProtKB:P80365	HSD11B2	biolink:Protein	Tchem	drug_central
UniProtKB:P37059	HSD17B2	biolink:Protein	Tchem	drug_central
DrugCentral:65	acetylcholine	biolink:Drug		drug_central
UniProtKB:P36544	CHRNA7	biolink:Protein	Tchem	drug_central
UniProtKB:P20309	CHRM3	biolink:Protein	Tclin	drug_central
UniProtKB:P17787	CHRNA4	biolink:Protein	Tclin	drug_central
UniProtKB:P43681	CHRNB2	biolink:Protein	Tclin	drug_central
UniProtKB:P08912	CHRM5	biolink:Protein	Tclin	drug_central
UniProtKB:P11229	CHRM1	biolink:Protein	Tclin	drug_central
UniProtKB:P08173	CHRM4	biolink:Protein	Tclin	drug_central
UniProtKB:P08172	CHRM2	biolink:Protein	Tclin	drug_central
DrugCentral:66	acetylcysteine	biolink:Drug		drug_central
UniProtKB:P04179	SOD2	biolink:Protein	Tbio	drug_central
UniProtKB:P15692	VEGFA	biolink:Protein	Tclin	drug_central
UniProtKB:P99999	CYCS	biolink:Protein	Tbio	drug_central
DrugCentral:67	acetyldigitoxin	biolink:Drug		drug_central
UniProtKB:P05023	ATP1A1	biolink:Protein	Tclin	drug_central
UniProtKB:P05026	ATP1A2	biolink:Protein	Tclin	drug_central
UniProtKB:P13637	ATP1A3	biolink:Protein	Tclin	drug_central
UniProtKB:P14415	ATP1A4	biolink:Protein	Tclin	drug_central
UniProtKB:P50993	ATP1B1	biolink:Protein	Tclin	drug_central
UniProtKB:P54709	ATP1B2	biolink:Protein	Tclin	drug_central
UniProtKB:P54710	ATP1B3	biolink:Protein	Tclin	drug_central
UniProtKB:Q13733	FXYD2	biolink:Protein	Tclin	drug_central
DrugCentral:73	acepromazine	biolink:Drug		drug_central
UniProtKB:P04156	PRNP	biolink:Protein	Tchem	drug_central
DrugCentral:74	acetylsalicylic acid	biolink:Drug		drug_central
UniProtKB:P19440	GGT1	biolink:Protein	Tbio	drug_central
DrugCentral:76	acipimox	biolink:Drug		drug_central
UniProtKB:Q8TDS4	HCAR2	biolink:Protein	Tclin	drug_central
DrugCentral:78	acitretin	biolink:Drug		drug_central
UniProtKB:P10276	RARA	biolink:Protein	Tclin	drug_central
UniProtKB:P13631	RARG	biolink:Protein	Tclin	drug_central
UniProtKB:O95342	ABCB11	biolink:Protein	Tchem	drug_central
DrugCentral:80	aclarubicin	biolink:Drug		drug_central
UniProtKB:P41595	HTR2B	biolink:Protein	Tclin	drug_central
UniProtKB:P08253	MMP2	biolink:Protein	Tchem	drug_central
DrugCentral:81	aclatonium	biolink:Drug		drug_central
DrugCentral:82	acrivastine	biolink:Drug		drug_central
UniProtKB:P08183	ABCB1	biolink:Protein	Tchem	drug_central
DrugCentral:87	adapalene	biolink:Drug		drug_central
UniProtKB:P10826	RARB	biolink:Protein	Tclin	drug_central
UniProtKB:P23415	GLRA1	biolink:Protein	Tclin	drug_central
DrugCentral:88	adefovir dipivoxil	biolink:Drug		drug_central
UniProtKB:P54098	POLG	biolink:Protein	Tchem	drug_central
DrugCentral:89	adenine	biolink:Drug		drug_central
UniProtKB:P42356	PI4K2A	biolink:Protein	Tbio	drug_central
UniProtKB:Q8TCG2	PI4K2B	biolink:Protein	Tbio	drug_central
UniProtKB:Q9BTU6	PI4KA	biolink:Protein	Tchem	drug_central
