?covp	?covplab	?humanp	?humanplab	?humanp2	?humanplab2	id	TDL
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	IMPDH2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	GLA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	DPP4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	NDUFB10^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	NDUFB10^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	GLA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	GLA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	TOP1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	DPP4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	DPP4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	Tclin
