species	protein ID	protein/gene name	is_glycosylated	has_transmembrane_domain	pdb_data	go_annotations
V	UniProtKB:P0DTC7	Protein 7a	False	True		" GO; GO:0044167; C:host cell endoplasmic reticu...
 GO; GO:0044173; C:host cell endoplasmic reticu...
 GO; GO:0044178; C:host cell Golgi membrane; IE...
 GO; GO:0016021; C:integral component of membra...
  GO; GO:0019012; C:virion; IEA:UniProtKB-SubCell.
 GO; GO:0039646; P:modulation by virus of host ..."
V	UniProtKB:P0DTC5	Membrane protein	False	True		" GO; GO:0044178; C:host cell Golgi membrane; IE...
 GO; GO:0016021; C:integral component of membra...
 GO; GO:0019031; C:viral envelope; IEA:UniProtK...
 GO; GO:0055036; C:virion membrane; IEA:UniProt...
 GO; GO:0039660; F:structural constituent of vi...
 GO; GO:0030683; P:mitigation of host immune re..."
V	UniProtKB:P0DTC1	Replicase polyprotein 1a	False	True	" PDB; 6Y2E; X-ray; 1.75 A; A=3264-3569.
 PDB; 6Y2F; X-ray; 2.16 A; A=3264-3569.
 PDB; 6Y2G; X-ray; 2.16 A; A=3264-3569."	" GO; GO:0033644; C:host cell membrane; IEA:UniP...
 GO; GO:0044220; C:host cell perinuclear region...
 GO; GO:0016021; C:integral component of membra...
 GO; GO:0004519; F:endonuclease activity; IEA:U...
 GO; GO:0046872; F:metal ion binding; IEA:UniPr...
  GO; GO:0003723; F:RNA binding; IEA:UniProtKB-KW.
 GO; GO:0036459; F:thiol-dependent ubiquitinyl ...
 GO; GO:0039595; P:induction by virus of catabo...
 GO; GO:0039520; P:induction by virus of host a...
 GO; GO:0039648; P:modulation by virus of host ...
 GO; GO:0039548; P:suppression by virus of host...
 GO; GO:0039579; P:suppression by virus of host...
 GO; GO:0039502; P:suppression by virus of host..."
V	UniProtKB:P0DTC8	Non-structural protein 8	False	False		
V	UniProtKB:P0DTD3	Uncharacterized protein 14	False	True		 GO; GO:0016021; C:integral component of membra...
V	UniProtKB:P0DTD1	Replicase polyprotein 1ab	False	True	"            PDB; 5R7Y; X-ray; 1.65 A; A=3264-3569.
            PDB; 5R7Z; X-ray; 1.59 A; A=3264-3569.
            PDB; 5R80; X-ray; 1.93 A; A=3264-3569.
            PDB; 5R81; X-ray; 1.95 A; A=3264-3569.
            PDB; 5R82; X-ray; 1.31 A; A=3264-3569.
            PDB; 5R83; X-ray; 1.58 A; A=3264-3569.
            PDB; 5R84; X-ray; 1.83 A; A=3264-3569.
            PDB; 5RE4; X-ray; 1.88 A; A=3264-3569.
            PDB; 5RE5; X-ray; 2.07 A; A=3264-3569.
            PDB; 5RE6; X-ray; 1.87 A; A=3264-3569.
            PDB; 5RE7; X-ray; 1.79 A; A=3264-3569.
            PDB; 5RE8; X-ray; 1.81 A; A=3264-3569.
            PDB; 5RE9; X-ray; 1.72 A; A=3264-3569.
            PDB; 5REA; X-ray; 1.63 A; A=3264-3569.
            PDB; 5REB; X-ray; 1.68 A; A=3264-3569.
            PDB; 5REC; X-ray; 1.73 A; A=3264-3569.
            PDB; 5RED; X-ray; 1.47 A; A=3264-3569.
            PDB; 5REE; X-ray; 1.77 A; A=3264-3569.
            PDB; 5REF; X-ray; 1.61 A; A=3264-3569.
            PDB; 5REG; X-ray; 1.67 A; A=3264-3569.
            PDB; 5REH; X-ray; 1.80 A; A=3264-3569.
            PDB; 5REI; X-ray; 1.82 A; A=3264-3569.
            PDB; 5REJ; X-ray; 1.72 A; A=3264-3569.
            PDB; 5REK; X-ray; 1.74 A; A=3264-3569.
            PDB; 5REL; X-ray; 1.62 A; A=3264-3569.
            PDB; 5REM; X-ray; 1.96 A; A=3264-3569.
            PDB; 5REN; X-ray; 2.15 A; A=3264-3569.
            PDB; 5REO; X-ray; 1.88 A; A=3264-3569.
            PDB; 5REP; X-ray; 1.81 A; A=3264-3569.
            PDB; 5RER; X-ray; 1.88 A; A=3264-3569.
            PDB; 5RES; X-ray; 1.65 A; A=3264-3569.
            PDB; 5RET; X-ray; 1.68 A; A=3264-3569.
            PDB; 5REU; X-ray; 1.69 A; A=3264-3569.
            PDB; 5REV; X-ray; 1.60 A; A=3264-3569.
            PDB; 5REW; X-ray; 1.55 A; A=3264-3569.
            PDB; 5REX; X-ray; 2.07 A; A=3264-3569.
            PDB; 5REY; X-ray; 1.96 A; A=3264-3569.
            PDB; 5REZ; X-ray; 1.79 A; A=3264-3569.
            PDB; 5RF0; X-ray; 1.65 A; A=3264-3569.
            PDB; 5RF1; X-ray; 1.73 A; A=3264-3569.
            PDB; 5RF2; X-ray; 1.53 A; A=3264-3569.
            PDB; 5RF3; X-ray; 1.50 A; A=3264-3569.
            PDB; 5RF4; X-ray; 1.61 A; A=3264-3569.
            PDB; 5RF5; X-ray; 1.74 A; A=3264-3569.
            PDB; 5RF6; X-ray; 1.45 A; A=3264-3569.
            PDB; 5RF7; X-ray; 1.54 A; A=3264-3569.
            PDB; 5RF8; X-ray; 1.44 A; A=3264-3569.
            PDB; 5RF9; X-ray; 1.43 A; A=3264-3569.
            PDB; 5RFA; X-ray; 1.52 A; A=3264-3569.
            PDB; 5RFB; X-ray; 1.48 A; A=3264-3569.
            PDB; 5RFC; X-ray; 1.40 A; A=3264-3569.
            PDB; 5RFD; X-ray; 1.41 A; A=3264-3569.
            PDB; 5RFE; X-ray; 1.46 A; A=3264-3569.
            PDB; 5RFF; X-ray; 1.78 A; A=3264-3569.
            PDB; 5RFG; X-ray; 2.32 A; A=3264-3569.
            PDB; 5RFH; X-ray; 1.58 A; A=3264-3569.
            PDB; 5RFI; X-ray; 1.69 A; A=3264-3569.
            PDB; 5RFJ; X-ray; 1.80 A; A=3264-3569.
            PDB; 5RFK; X-ray; 1.75 A; A=3264-3569.
            PDB; 5RFL; X-ray; 1.64 A; A=3264-3569.
            PDB; 5RFM; X-ray; 2.06 A; A=3264-3569.
            PDB; 5RFN; X-ray; 1.80 A; A=3264-3569.
            PDB; 5RFO; X-ray; 1.83 A; A=3264-3569.
            PDB; 5RFP; X-ray; 2.03 A; A=3264-3569.
            PDB; 5RFQ; X-ray; 1.76 A; A=3264-3569.
            PDB; 5RFR; X-ray; 1.71 A; A=3264-3569.
            PDB; 5RFS; X-ray; 1.70 A; A=3264-3569.
            PDB; 5RFT; X-ray; 1.58 A; A=3264-3569.
            PDB; 5RFU; X-ray; 1.53 A; A=3264-3569.
            PDB; 5RFV; X-ray; 1.48 A; A=3264-3569.
            PDB; 5RFW; X-ray; 1.43 A; A=3264-3569.
            PDB; 5RFX; X-ray; 1.55 A; A=3264-3569.
            PDB; 5RFY; X-ray; 1.90 A; A=3264-3569.
            PDB; 5RFZ; X-ray; 1.68 A; A=3264-3569.
            PDB; 5RG0; X-ray; 1.72 A; A=3264-3569.
            PDB; 6LU7; X-ray; 2.16 A; A=3264-3569.
            PDB; 6M03; X-ray; 2.00 A; A=3264-3569.
          PDB; 6VWW; X-ray; 2.20 A; A/B=6453-6798.
          PDB; 6W01; X-ray; 1.90 A; A/B=6453-6798.
          PDB; 6W02; X-ray; 1.50 A; A/B=1024-1192.
 PDB; 6W61; X-ray; 2.00 A; B=4254-4392, A=6799-...
            PDB; 6W63; X-ray; 2.10 A; A=3264-3569.
          PDB; 6W6Y; X-ray; 1.45 A; A/B=1024-1192.
 PDB; 6W75; X-ray; 1.95 A; B/D=4254-4392, A/C=6...
            PDB; 6Y2E; X-ray; 1.75 A; A=3264-3569.
            PDB; 6Y2F; X-ray; 2.16 A; A=3264-3569.
            PDB; 6Y2G; X-ray; 2.16 A; A=3264-3569.
            PDB; 6Y84; X-ray; 1.39 A; A=3264-3569.
            PDB; 6YB7; X-ray; 1.25 A; A=3264-3569."	" GO; GO:0044172; C:host cell endoplasmic reticu...
 GO; GO:0033644; C:host cell membrane; IEA:UniP...
 GO; GO:0044220; C:host cell perinuclear region...
 GO; GO:0016021; C:integral component of membra...
  GO; GO:0005524; F:ATP binding; IEA:UniProtKB-KW.
 GO; GO:0003678; F:DNA helicase activity; IEA:U...
 GO; GO:0004519; F:endonuclease activity; IEA:U...
 GO; GO:0004527; F:exonuclease activity; IEA:Un...
 GO; GO:0046872; F:metal ion binding; IEA:UniPr...
 GO; GO:0008168; F:methyltransferase activity; ...
  GO; GO:0003723; F:RNA binding; IEA:UniProtKB-KW.
 GO; GO:0003724; F:RNA helicase activity; IEA:U...
 GO; GO:0003968; F:RNA-directed 5'-3' RNA polym...
 GO; GO:0036459; F:thiol-dependent ubiquitinyl ...
 GO; GO:0039595; P:induction by virus of catabo...
 GO; GO:0039520; P:induction by virus of host a...
  GO; GO:0032259; P:methylation; IEA:UniProtKB-KW.
 GO; GO:0039648; P:modulation by virus of host ...
 GO; GO:0039579; P:suppression by virus of host...
 GO; GO:0039644; P:suppression by virus of host...
 GO; GO:0039502; P:suppression by virus of host..."
V	UniProtKB:P0DTC2	Spike glycoprotein	True	True	"      PDB; 6LVN; X-ray; 2.47 A; A/B/C/D=1168-1203.
 PDB; 6LXT; X-ray; 2.90 A; A/B/C/D/E/F=910-988,...
              PDB; 6M0J; X-ray; 2.45 A; E=319-541.
               PDB; 6M17; EM; 2.90 A; E/F=319-541.
              PDB; 6VSB; EM; 3.46 A; A/B/C=1-1208.
             PDB; 6VXX; EM; 2.80 A; A/B/C=14-1211.
             PDB; 6VYB; EM; 3.20 A; A/B/C=14-1211.
              PDB; 6W41; X-ray; 3.08 A; C=319-541."	" GO; GO:0044173; C:host cell endoplasmic reticu...
 GO; GO:0020002; C:host cell plasma membrane; I...
 GO; GO:0016021; C:integral component of membra...
 GO; GO:0019031; C:viral envelope; IEA:UniProtK...
 GO; GO:0055036; C:virion membrane; IEA:UniProt...
 GO; GO:0046789; F:host cell surface receptor b...
 GO; GO:0039654; P:fusion of virus membrane wit...
 GO; GO:0009405; P:pathogenesis; IEA:UniProtKB-KW.
 GO; GO:0046718; P:viral entry into host cell; ...
 GO; GO:0019062; P:virion attachment to host ce..."
V	UniProtKB:P0DTC9	Nucleoprotein	False	False	 PDB; 6VYO; X-ray; 1.70 A; A/B/C/D=47-173.	" GO; GO:0044172; C:host cell endoplasmic reticu...
 GO; GO:0044177; C:host cell Golgi apparatus; I...
 GO; GO:0019013; C:viral nucleocapsid; IEA:UniP...
  GO; GO:0003723; F:RNA binding; IEA:UniProtKB-KW."
V	UniProtKB:P0DTC3	Protein 3a	True	True		" GO; GO:0005576; C:extracellular region; IEA:Un...
 GO; GO:0044178; C:host cell Golgi membrane; IE...
 GO; GO:0020002; C:host cell plasma membrane; I...
 GO; GO:0016021; C:integral component of membra...
  GO; GO:0019012; C:virion; IEA:UniProtKB-SubCell."
V	UniProtKB:P0DTD8	Protein non-structural 7b	False	True		" GO; GO:0033644; C:host cell membrane; IEA:UniP...
 GO; GO:0016021; C:integral component of membra..."
V	UniProtKB:P0DTD2	Protein 9b	False	False		" GO; GO:0044162; C:host cell cytoplasmic vesicl...
     GO; GO:0016020; C:membrane; IEA:UniProtKB-KW."
V	UniProtKB:P0DTC4	Envelope small membrane protein	False	True		" GO; GO:0044178; C:host cell Golgi membrane; IE...
 GO; GO:0016021; C:integral component of membra..."
V	UniProtKB:P0DTC6	Non-structural protein 6	False	False		" GO; GO:0044167; C:host cell endoplasmic reticu...
 GO; GO:0044178; C:host cell Golgi membrane; IE...
     GO; GO:0016020; C:membrane; IEA:UniProtKB-KW.
 GO; GO:0009405; P:pathogenesis; IEA:UniProtKB-KW."
V	UniProtKB:P0DTC9-PRO_0000449656	Nucleoprotein	False	False	 PDB; 6VYO; X-ray; 1.70 A; A/B/C/D=47-173.	" GO; GO:0044172; C:host cell endoplasmic reticu...
 GO; GO:0044177; C:host cell Golgi apparatus; I...
 GO; GO:0019013; C:viral nucleocapsid; IEA:UniP...
  GO; GO:0003723; F:RNA binding; IEA:UniProtKB-KW."
V	UniProtKB:P0DTC1-PRO_0000449643	Non-structural protein 9	False	True	" PDB; 6Y2E; X-ray; 1.75 A; A=3264-3569.
 PDB; 6Y2F; X-ray; 2.16 A; A=3264-3569.
 PDB; 6Y2G; X-ray; 2.16 A; A=3264-3569."	" GO; GO:0033644; C:host cell membrane; IEA:UniP...
 GO; GO:0044220; C:host cell perinuclear region...
 GO; GO:0016021; C:integral component of membra...
 GO; GO:0004519; F:endonuclease activity; IEA:U...
 GO; GO:0046872; F:metal ion binding; IEA:UniPr...
  GO; GO:0003723; F:RNA binding; IEA:UniProtKB-KW.
 GO; GO:0036459; F:thiol-dependent ubiquitinyl ...
 GO; GO:0039595; P:induction by virus of catabo...
 GO; GO:0039520; P:induction by virus of host a...
 GO; GO:0039648; P:modulation by virus of host ...
 GO; GO:0039548; P:suppression by virus of host...
 GO; GO:0039579; P:suppression by virus of host...
 GO; GO:0039502; P:suppression by virus of host..."
V	UniProtKB:P0DTD3-PRO_0000449658	Uncharacterized protein 14	False	True		 GO; GO:0016021; C:integral component of membra...
